*********************************************************
总结点个数:4546
总边数12319
*********************************************************
编号	节点	度
3905	YGR107w	1
3906	YIR026c	1
3907	YLL019c	1
3908	YMR064w	1
3909	YLR114c	1
3910	YIL119c	1
3911	YOR009w	1
3912	YPR187w	1
3913	YIL137c	1
3914	YIL139c	1
3915	YDR038c	1
3916	YPL260w	1
3917	YBL091c	1
3918	YIL149c	1
3919	YDR066c	1
3920	YBL088c	1
3921	YIL157c	1
3922	YIL158w	1
3923	YDR067c	1
3924	YIL163c	1
3925	YIL173w	1
3926	YLR237w	1
3927	YMR057c	1
3928	YER089c	1
3929	YOR105w	1
3930	YBL087c	1
3931	YKL045w	1
3932	YKL210w	1
3933	YNL165w	1
3934	YOR011w	1
3935	YIR010w	1
3936	YDR072c	1
3937	YML068w	1
3938	YJR004c	1
3939	YIR013c	1
3940	YJL102w	1
3941	YKL128c	1
3942	YBL080c	1
3943	YBL075c	1
3944	YIR027c	1
3945	YDR442w	1
3946	YEL054c	1
3947	YIR035c	1
3948	YIR036c	1
3949	YDR092w	1
3950	YLL060c	1
3951	YDR095c	1
3952	YDR101c	1
3953	YNL007c	1
3954	YIR042c	1
3955	YJL003w	1
3956	YLR140w	1
3957	YJL008c	1
3958	YGL008c	1
3959	YBL068w	1
3960	YOR081c	1
3961	YJL024c	1
3962	YML091c	1
3963	YPR176c	1
3964	YER132c	1
3965	YPL207w	1
3966	YJL045w	1
3967	YJL046w	1
3968	YBL065w	1
3969	YJL052w	1
3970	YJL055w	1
3971	YBL058w	1
3972	YJL059w	1
3973	YPL080c	1
3974	YBL054w	1
3975	YDR104c	1
3976	YJL066c	1
3977	YNL160w	1
3978	YJL069c	1
3979	YLR409c	1
3980	YBL052c	1
3981	YPL266w	1
3982	YJL079c	1
3983	YJL082w	1
3984	YKR096w	1
3985	YJL087c	1
3986	YKL108w	1
3987	YDR541c	1
3988	YJL094c	1
3989	YLR193c	1
3990	YBL046w	1
3991	YBL044w	1
3992	YPL040c	1
3993	YJL101c	1
3994	YDR538w	1
3995	YJL112w	1
3996	YJL121c	1
3997	YJL123c	1
3998	YDR536w	1
3999	YMR250w	1
4000	YBL038w	1
4001	YNL163c	1
4002	YNL276c	1
4003	YBL037w	1
4004	YDR106w	1
4005	YGR234w	1
4006	YIL134w	1
4007	YGR098c	1
4008	YDR531w	1
4009	YNL321w	1
4010	YDR530c	1
4011	YDR330w	1
4012	YFR012w	1
4013	YDR122w	1
4014	YJL192c	1
4015	YJL196c	1
4016	YGL007w	1
4017	YJL200c	1
4018	YDR526c	1
4019	YMR285c	1
4020	YOL136c	1
4021	YKL222c	1
4022	YJL214w	1
4023	YOR066w	1
4024	YJL219w	1
4025	YJL225c	1
4026	YJR001w	1
4027	YJR003c	1
4028	YPL119c	1
4029	YML053c	1
4030	YKR033c	1
4031	YDR514c	1
4032	YOL163w	1
4033	YDR127w	1
4034	YLL015w	1
4035	YDR504c	1
4036	YDR135c	1
4037	YNL050c	1
4038	YNL242w	1
4039	YMR237w	1
4040	YNR046w	1
4041	YOL140w	1
4042	YJR023c	1
4043	YJR024c	1
4044	YHR160c	1
4045	YDR500c	1
4046	YJR035w	1
4047	YNL248c	1
4048	YML026c	1
4049	YLR228c	1
4050	YMR207c	1
4051	YML114c	1
4052	YDR169c	1
4053	YNL232w	1
4054	YLR406c	1
4055	YDR497c	1
4056	YMR066w	1
4057	YOR262w	1
4058	YDR494w	1
4059	YDR300c	1
4060	YIL013c	1
4061	YLR061w	1
4062	YOR084w	1
4063	YJR079w	1
4064	YOR354c	1
4065	YLR126c	1
4066	YPR158w-b	1
4067	YOL100w	1
4068	YJR123w	1
4069	YKL076c	1
4070	YKL111c	1
4071	YLR466w	1
4072	YKL138c	1
4073	YIR044c	1
4074	YLR120c	1
4075	YDR175c	1
4076	YKR040c	1
4077	YKR087c	1
4078	YDR457w	1
4079	YGR077c	1
4080	YBL022c	1
4081	YLR066w	1
4082	YLR092w	1
4083	YGL013c	1
4084	YLR118c	1
4085	YLR156w	1
4086	YBL020w	1
4087	YLR205c	1
4088	YLR230w	1
4089	YDR178w	1
4090	YLR248w	1
4091	YLR333c	1
4092	YLR379w	1
4093	YDR487c	1
4094	YDR483w	1
4095	YML123c	1
4096	YML126c	1
4097	YMR067c	1
4098	YMR160w	1
4099	YMR278w	1
4100	YKR060w	1
4101	YNL008c	1
4102	YNL109w	1
4103	YNL144c	1
4104	YPL235w	1
4105	YDR191w	1
4106	YNL257c	1
4107	YBL019w	1
4108	YOR134w	1
4109	YPL052w	1
4110	YBL018c	1
4111	YPL092w	1
4112	YJL089w	1
4113	YDR193w	1
4114	YMR018w	1
4115	YPL271w	1
4116	YPR003c	1
4117	YDR194c	1
4118	YPR114w	1
4119	YPR130c	1
4120	YJR097w	1
4121	YDR460w	1
4122	YJR100c	1
4123	YBL010c	1
4124	YBL009w	1
4125	YBL006c	1
4126	YLR369w	1
4127	YJR105w	1
4128	YPL068c	1
4129	YJR120w	1
4130	YJR125c	1
4131	YDR459c	1
4132	YKL033w	1
4133	YJR139c	1
4134	YJR142w	1
4135	YNL034w	1
4136	YDR458c	1
4137	YOR108w	1
4138	YJR154w	1
4139	YJR157w	1
4140	YLR173w	1
4141	YKL003c	1
4142	YKL006w	1
4143	YNL107w	1
4144	YPL283c	1
4145	YPR122w	1
4146	YDR196c	1
4147	YKL024c	1
4148	YKR062w	1
4149	YDR199w	1
4150	YDR205w	1
4151	YKL035w	1
4152	YKL044w	1
4153	YKL047w	1
4154	YDR444w	1
4155	YAR071w	1
4156	YKL053c-a	1
4157	YAR069c	1
4158	YKL060c	1
4159	YNL122c	1
4160	YAR064w	1
4161	YKL069w	1
4162	YKL072w	1
4163	YNR039c	1
4164	YDR211w	1
4165	YOR148c	1
4166	YKL087c	1
4167	YOL052c	1
4168	YMR081c	1
4169	YAR047c	1
4170	YKL107w	1
4171	YOR182c	1
4172	YPR116w	1
4173	YLR389c	1
4174	YDR434w	1
4175	YAR042w	1
4176	YGL051w	1
4177	YML106w	1
4178	YPL175w	1
4179	YKL133c	1
4180	YKL134c	1
4181	YDR221w	1
4182	YOR323c	1
4183	YMR165c	1
4184	YMR210w	1
4185	YHL001w	1
4186	YJL081c	1
4187	YKL153w	1
4188	YKL161c	1
4189	YKL163w	1
4190	YKL164c	1
4191	YKL168c	1
4192	YLR012c	1
4193	YDR236c	1
4194	YNL104c	1
4195	YKL186c	1
4196	YPL147w	1
4197	YDR238c	1
4198	YPL163c	1
4199	YKL201c	1
4200	YOR003w	1
4201	YNR059w	1
4202	YKL208w	1
4203	YDR427w	1
4204	YOR221c	1
4205	YKR005c	1
4206	YKR016w	1
4207	YLR388w	1
4208	YKR017c	1
4209	YNR038w	1
4210	YDR250c	1
4211	YAR002c-a	1
4212	YGR055w	1
4213	YKR047w	1
4214	YKR052c	1
4215	YDR423c	1
4216	YLR036c	1
4217	YKR070w	1
4218	YOR141c	1
4219	YKR080w	1
4220	YDR418w	1
4221	YDR251w	1
4222	YKR094c	1
4223	YKR095w	1
4224	YML065w	1
4225	YAL067c	1
4226	YAL066w	1
4227	YLL010c	1
4228	YDR255c	1
4229	YNR075w	1
4230	YOR095c	1
4231	YAL064w-b	1
4232	YOR282w	1
4233	YPL190c	1
4234	YAL060w	1
4235	YLL022c	1
4236	YLL023c	1
4237	YGR129w	1
4238	YOR305w	1
4239	YNL327w	1
4240	YGR289c	1
4241	YLL047w	1
4242	YMR069w	1
4243	YLL052c	1
4244	YLL059c	1
4245	YLR001c	1
4246	YNL019c	1
4247	YLR008c	1
4248	YFL002w-b	1
4249	YLR018c	1
4250	YKR053c	1
4251	YLR028c	1
4252	YLR034c	1
4253	YLR183c	1
4254	YLR038c	1
4255	YDR403w	1
4256	YOR236w	1
4257	YPL216w	1
4258	YDR397c	1
4259	YAL056w	1
4260	YAL056c-a	1
4261	YOL127w	1
4262	YDR262w	1
4263	YOR363c	1
4264	YDR454c	1
4265	YLR042c	1
4266	YDR263c	1
4267	YLR050c	1
4268	YOR214c	1
4269	YLR355c	1
4270	YLR070c	1
4271	YGL074c	1
4272	YML090w	1
4273	YDR393w	1
4274	YAL051w	1
4275	YAL049c	1
4276	YMR166c	1
4277	YPL183w-a	1
4278	YDR265w	1
4279	YAL045c	1
4280	YMR030w	1
4281	YOR390w	1
4282	YDR266c	1
4283	YMR088c	1
4284	YNL259c	1
4285	YML067c	1
4286	YGL052w	1
4287	YOR347c	1
4288	YDR509w	1
4289	YDR275w	1
4290	YOR342c	1
4291	YLR161w	1
4292	YLR165c	1
4293	YDR280w	1
4294	YLR171w	1
4295	YPR201w	1
4296	YLR174w	1
4297	YNR065c	1
4298	YDR281c	1
4299	YLR195c	1
4300	YJR115w	1
4301	YLR199c	1
4302	YAL033w	1
4303	YDR286c	1
4304	YDR287w	1
4305	YLR201c	1
4306	YDR387c	1
4307	YAL031c	1
4308	YLR209c	1
4309	YPL108w	1
4310	YHR163w	1
4311	YAL029c	1
4312	YPR161c	1
4313	YDR384c	1
4314	YPL048w	1
4315	YJR044c	1
4316	YOL110w	1
4317	YLR251w	1
4318	YLR252w	1
4319	YDR290w	1
4320	YLR259c	1
4321	YLR266c	1
4322	YLR281c	1
4323	YLR290c	1
4324	YNL158w	1
4325	YNL190w	1
4326	YOL046c	1
4327	YDR298c	1
4328	YAL022c	1
4329	YDR305c	1
4330	YML079w	1
4331	YJL127c	1
4332	YMR141c	1
4333	YMR177w	1
4334	YNL009w	1
4335	YKL104c	1
4336	YNL205c	1
4337	YNL324w	1
4338	YNL328c	1
4339	YOL008w	1
4340	YOL050c	1
4341	YOR145c	1
4342	YLR299w	1
4343	YOL137w	1
4344	YLR303w	1
4345	YLR304c	1
4346	YOR382w	1
4347	YLR317w	1
4348	YLR327c	1
4349	YNL071w	1
4350	YPL132w	1
4351	YLR334c	1
4352	YLR336c	1
4353	YML017w	1
4354	YMR073c	1
4355	YNL027w	1
4356	YLR323c	1
4357	YOL153c	1
4358	YAL017w	1
4359	YLR351c	1
4360	YMR221c	1
4361	YNL145w	1
4362	YLR363c	1
4363	YLR366w	1
4364	YMR242c	1
4365	YPR093c	1
4366	YPL107w	1
4367	YLR385c	1
4368	YLR387c	1
4369	YOL056w	1
4370	YDR317w	1
4371	YER035w	1
4372	YMR279c	1
4373	YLR401c	1
4374	YLR411w	1
4375	YLR412w	1
4376	YLR414c	1
4377	YOR013w	1
4378	YLR416c	1
4379	YMR158w	1
4380	YNL198c	1
4381	YGL251c	1
4382	YDR181c	1
4383	YLR419w	1
4384	YMR017w	1
4385	YMR101c	1
4386	YPR179c	1
4387	YDR374c	1
4388	YMR142c	1
4389	YFL015c	1
4390	YOR119c	1
4391	YAL004w	1
4392	YNL267w	1
4393	YFR054c	1
4394	YNL134c	1
4395	YER007c-a	1
4396	YPR006c	1
4397	YLR450w	1
4398	YML027w	1
4399	YNL133c	1
4400	YDR327w	1
4401	YNR066c	1
4402	YOR230w	1
4403	Q0085	1
4404	YDR371w	1
4405	YPR144c	1
4406	YPR071w	1
4407	YML019w	1
4408	YOL128c	1
4409	YML037c	1
4410	YNL046w	1
4411	YML060w	1
4412	YOL010w	1
4413	YMR063w	1
4414	YML070w	1
4415	YDR370c	1
4416	YDR368w	1
4417	YOL086c	1
4418	YPL176c	1
4419	YPR099c	1
4420	YHR065c	1
4421	YOL144w	1
4422	YML122c	1
4423	YML129c	1
4424	YMR014w	1
4425	YMR019w	1
4426	YMR041c	1
4427	YMR157c	1
4428	YOR378w	1
4429	YNL300w	1
4430	YNL319w	1
4431	YNR061c	1
4432	YDR365c	1
4433	YOR251c	1
4434	YOR286w	1
4435	YKR086w	1
4436	YPL189w	1
4437	YMR051c	1
4438	YLR097c	1
4439	YMR075w	1
4440	YNL112w	1
4441	YPL263c	1
4442	YMR097c	1
4443	YDR331w	1
4444	YMR074c	1
4445	YMR125w	1
4446	YMR133w	1
4447	YMR134w	1
4448	YOR279c	1
4449	YPL164c	1
4450	YMR178w	1
4451	YOR018w	1
4452	YMR180c	1
4453	YMR184w	1
4454	YMR193w	1
4455	YMR195w	1
4456	YOR243c	1
4457	YMR239c	1
4458	YDR333c	1
4459	YMR271c	1
4460	YMR280c	1
4461	YMR306w	1
4462	YMR316c-a	1
4463	YDR337w	1
4464	YMR318c	1
4465	YMR326c	1
4466	YMR315w	1
4467	YMR325w	1
4468	YPR199c	1
4469	YNL045w	1
4470	YDR340w	1
4471	YNL093w	1
4472	YDR343c	1
4473	YPL061w	1
4474	YNL049c	1
4475	YPL257w-b	1
4476	YNL063w	1
4477	YNL068c	1
4478	YNL087w	1
4479	YOR004w	1
4480	YPL096c-a	1
4481	YNL180c	1
4482	YOR093c	1
4483	YPR160w	1
4484	YDR344c	1
4485	YNL120c	1
4486	YDR346c	1
4487	YNL179c	1
4488	YNL188w	1
4489	YOL058w	1
4490	YPR062w	1
4491	YNL200c	1
4492	YNL203c	1
4493	YNL208w	1
4494	YLR099c	1
4495	YNL226w	1
4496	YOR153w	1
4497	YDR350c	1
4498	YPR058w	1
4499	YNL253w	1
4500	YPL150w	1
4501	YHR103w	1
4502	YDR358w	1
4503	YNL279w	1
4504	YPL010w	1
4505	YNL290w	1
4506	YOL094c	1
4507	YNL292w	1
4508	YPL047w	1
4509	YNL314w	1
4510	YNL320w	1
4511	YNR004w	1
4512	YDR361c	1
4513	YNR033w	1
4514	YOR044w	1
4515	YOL039w	1
4516	YOL035c	1
4517	YOL043c	1
4518	YOL054w	1
4519	YOL066c	1
4520	YOR065w	1
4521	YOL095c	1
4522	YOL103w-b	1
4523	YOL119c	1
4524	YOL122c	1
4525	YOL147c	1
4526	YPR103w	1
4527	YOR063w	1
4528	YOR074c	1
4529	YOR079c	1
4530	YPR169w	1
4531	YOR103c	1
4532	YOR393w	1
4533	Q0045	1
4534	YOR131c	1
4535	YOR146w	1
4536	YOR172w	1
4537	YOR233w	1
4538	YOR325w	1
4539	YPL074w	1
4540	YPR123c	1
4541	YPL060c-a	1
4542	YPL097w	1
4543	YPR015c	1
4544	YPR157w	1
4545	YPR133c	1
